query	grouping_confidence	location_confidence	orientation_confidence
NODE_61_length_23443_cov_8.224653_pilon_pilon_pilon_pilon	1.0	0.0037487904529858256	1.0
NODE_272_length_6039_cov_8.202470_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_922_length_286_cov_6.607748_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_128_length_14698_cov_8.105758_pilon_pilon_pilon_pilon	1.0	1.0	0.9961712019690961
NODE_309_length_4769_cov_7.950022_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_30_length_30599_cov_8.116829_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_35_length_29428_cov_8.271561_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_63_length_23367_cov_7.990146_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_294_length_5129_cov_7.913635_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_49_length_26179_cov_8.565101_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_43_length_28111_cov_7.903052_pilon_pilon_pilon_pilon	1.0	0.9546381414006352	0.8787730233209609
NODE_465_length_897_cov_8.088867_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_104_length_17244_cov_7.701466_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_199_length_9710_cov_7.991965_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_163_length_12079_cov_8.109019_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_72_length_21528_cov_7.863605_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_66_length_22935_cov_7.270782_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_458_length_972_cov_7.200000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_504_length_621_cov_6.172065_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_176_length_11415_cov_6.802179_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_12_length_46315_cov_7.650818_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_77_length_21002_cov_6.832048_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_318_length_4017_cov_9.141902_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_206_length_8946_cov_7.831727_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_7_length_51036_cov_7.806262_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_86_length_19517_cov_8.009489_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_161_length_12108_cov_7.607963_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_37_length_28984_cov_8.090377_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_415_length_1611_cov_6.749326_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_261_length_6357_cov_8.017175_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_313_length_4539_cov_6.990254_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_899_length_380_cov_2.375494_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_709_length_425_cov_3.107383_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_191_length_10231_cov_7.950020_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_175_length_11447_cov_6.743993_pilon_pilon_pilon_pilon	1.0	0.0026632713436816136	1.0
NODE_287_length_5424_cov_7.617708_pilon_pilon_pilon_pilon	1.0	0.009493139538388018	1.0
NODE_48_length_26599_cov_7.891659_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_34_length_29516_cov_6.883698_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_400_length_1867_cov_7.384483_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_298_length_4982_cov_8.310814_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_363_length_2833_cov_7.104582_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_499_length_633_cov_6.035526_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_509_length_609_cov_4.709544_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_332_length_3660_cov_5.468157_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_591_length_464_cov_1.715134_pilon_pilon_pilon_pilon	1.0	0.8683473389355743	0.8661290322580645
NODE_455_length_1039_cov_4.200658_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_419_length_1523_cov_5.194126_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_534_length_534_cov_2.245700_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_193_length_10120_cov_6.509056_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_236_length_7693_cov_6.012687_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_116_length_15994_cov_6.765551_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_397_length_1879_cov_8.446918_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_154_length_12566_cov_6.702709_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_277_length_5745_cov_6.813635_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_108_length_16832_cov_7.605986_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_221_length_8192_cov_7.527464_pilon_pilon_pilon_pilon	1.0	0.0015963338131302941	1.0
NODE_403_length_1812_cov_8.047478_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_137_length_13918_cov_8.269306_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_157_length_12549_cov_7.526646_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_423_length_1424_cov_5.257517_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_168_length_11911_cov_8.549304_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_260_length_6498_cov_6.649192_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_436_length_1243_cov_6.000896_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_393_length_1972_cov_7.852033_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_291_length_5269_cov_7.022559_pilon_pilon_pilon_pilon	1.0	1.0	1.0
